candle_id,instrument,bar_open_ts,close_price,algo_bos_bullish,manual_bos_bullish,algo_bos_bearish,manual_bos_bearish,algo_choch,manual_choch,algo_ob_count,manual_ob_count,algo_fvg_count,manual_fvg_count,algo_phase,manual_phase,verdict,notes
1,XAUUSD,2026-01-01T23:00:00,4348.25500,Non,,Oui,,Non,,0,,0,,ranging/normal/ranging,,,
2,XAUUSD,2026-01-02T00:00:00,4354.12850,Non,,Oui,,Non,,0,,1,,ranging/normal/ranging,,,
3,XAUUSD,2026-01-02T03:00:00,4375.18500,Oui,,Non,,bullish,,0,,1,,ranging/normal/ranging,,,
4,XAUUSD,2026-01-05T05:00:00,4412.56850,Oui,,Non,,Non,,0,,0,,bullish/normal/trend,,,
5,XAUUSD,2026-01-06T14:00:00,4487.78850,Oui,,Non,,Non,,0,,0,,ranging/normal/ranging,,,
6,XAUUSD,2026-01-09T05:00:00,4468.16000,Oui,,Non,,Non,,0,,0,,ranging/low/ranging,,,
7,XAUUSD,2026-01-12T00:00:00,4588.92650,Oui,,Non,,Non,,0,,1,,bullish/elevated/expansion,,,
8,XAUUSD,2026-01-16T10:00:00,4600.23500,Oui,,Non,,Non,,0,,0,,bullish/normal/trend,,,
9,XAUUSD,2026-01-20T23:00:00,4775.94500,Oui,,Non,,Non,,0,,0,,bullish/normal/trend,,,
10,XAUUSD,2026-01-26T03:00:00,5076.79500,Oui,,Non,,Non,,0,,0,,bullish/elevated/expansion,,,
11,XAUUSD,2026-01-28T01:00:00,5204.69000,Oui,,Non,,Non,,1,,0,,bullish/elevated/expansion,,,
12,XAUUSD,2026-01-29T15:00:00,5182.82500,Non,,Oui,,bearish,,0,,0,,bullish/elevated/expansion,,,
13,XAUUSD,2026-01-30T01:00:00,5301.14000,Non,,Oui,,Non,,0,,0,,bullish/elevated/expansion,,,
14,XAUUSD,2026-02-02T05:00:00,4549.61650,Non,,Oui,,Non,,1,,0,,ranging/elevated/ranging,,,
15,XAUUSD,2026-02-05T16:00:00,4889.06650,Non,,Oui,,Non,,1,,0,,ranging/normal/ranging,,,
16,XAUUSD,2026-02-13T17:00:00,5021.11000,Non,,Oui,,Non,,0,,0,,bullish/normal/trend,,,
17,XAUUSD,2026-02-16T12:00:00,5002.02500,Non,,Oui,,Non,,0,,0,,ranging/low/ranging,,,
18,XAUUSD,2026-02-17T04:00:00,4953.00000,Non,,Oui,,Non,,0,,0,,ranging/low/ranging,,,
19,XAUUSD,2026-02-24T13:00:00,5115.14850,Non,,Oui,,bearish,,0,,1,,ranging/normal/ranging,,,
20,XAUUSD,2026-02-27T20:00:00,5263.41500,Oui,,Non,,bullish,,0,,0,,bullish/normal/trend,,,
21,XAUUSD,2026-03-02T06:00:00,5387.71500,Oui,,Non,,Non,,0,,0,,bullish/elevated/expansion,,,
22,XAUUSD,2026-03-02T13:00:00,5394.02500,Oui,,Non,,Non,,0,,0,,bullish/normal/trend,,,
23,XAUUSD,2026-03-02T14:00:00,5333.60350,Non,,Oui,,bearish,,0,,0,,bullish/elevated/expansion,,,
24,XAUUSD,2026-03-03T10:00:00,5248.27500,Non,,Oui,,Non,,0,,0,,bullish/elevated/expansion,,,
25,XAUUSD,2026-03-05T21:00:00,5083.64000,Non,,Oui,,Non,,0,,0,,ranging/normal/ranging,,,
26,XAUUSD,2026-03-18T20:00:00,4818.56500,Non,,Oui,,Non,,0,,1,,bearish/normal/trend,,,
27,XAUUSD,2026-03-19T04:00:00,4849.82500,Non,,Oui,,Non,,0,,0,,bearish/normal/trend,,,
28,XAUUSD,2026-03-19T13:00:00,4621.29000,Non,,Oui,,Non,,0,,1,,bearish/elevated/expansion,,,
29,XAUUSD,2026-03-22T23:00:00,4464.79000,Non,,Oui,,Non,,0,,0,,bearish/elevated/expansion,,,
30,XAUUSD,2026-03-26T19:00:00,4364.16000,Non,,Oui,,bearish,,1,,0,,bearish/normal/trend,,,
31,EURUSD,2025-10-01T00:00:00,1.17359,Oui,,Non,,Non,,0,,0,,bearish/low/trend,,,
32,EURUSD,2025-10-01T01:00:00,1.17392,Oui,,Non,,Non,,0,,0,,ranging/low/ranging,,,
33,EURUSD,2025-10-01T07:00:00,1.17500,Oui,,Non,,Non,,1,,0,,ranging/elevated/ranging,,,
34,EURUSD,2025-10-02T15:00:00,1.16967,Non,,Oui,,bearish,,0,,0,,bearish/elevated/expansion,,,
35,EURUSD,2025-10-02T20:00:00,1.17158,Non,,Oui,,Non,,0,,0,,bearish/normal/trend,,,
36,EURUSD,2025-10-09T03:00:00,1.16448,Oui,,Non,,bullish,,0,,0,,bearish/low/trend,,,
37,EURUSD,2025-10-09T18:00:00,1.15464,Non,,Oui,,Non,,1,,0,,bearish/elevated/expansion,,,
38,EURUSD,2025-10-14T13:00:00,1.15741,Non,,Oui,,Non,,0,,0,,bearish/elevated/expansion,,,
39,EURUSD,2025-10-15T18:00:00,1.16333,Oui,,Non,,Non,,0,,0,,bearish/normal/trend,,,
40,EURUSD,2025-10-20T06:00:00,1.16585,Oui,,Non,,Non,,1,,0,,ranging/normal/ranging,,,
41,EURUSD,2025-10-20T17:00:00,1.16434,Non,,Oui,,bearish,,0,,0,,ranging/normal/ranging,,,
42,EURUSD,2025-10-24T12:00:00,1.16342,Oui,,Non,,Non,,0,,0,,ranging/elevated/ranging,,,
43,EURUSD,2025-10-30T20:00:00,1.15646,Non,,Oui,,Non,,1,,0,,bearish/normal/trend,,,
44,EURUSD,2025-10-31T13:00:00,1.15389,Non,,Oui,,Non,,0,,1,,bearish/normal/trend,,,
45,EURUSD,2025-11-05T17:00:00,1.14805,Non,,Oui,,Non,,0,,0,,bearish/elevated/expansion,,,
46,EURUSD,2025-11-06T13:00:00,1.15358,Oui,,Non,,bullish,,0,,1,,bearish/normal/trend,,,
47,EURUSD,2025-11-07T11:00:00,1.15581,Oui,,Non,,Non,,0,,1,,bearish/normal/trend,,,
48,EURUSD,2025-11-11T12:00:00,1.15705,Oui,,Non,,Non,,0,,0,,bearish/normal/trend,,,
49,EURUSD,2025-11-19T10:00:00,1.15694,Non,,Oui,,Non,,0,,0,,ranging/normal/ranging,,,
50,EURUSD,2025-11-25T13:00:00,1.15584,Oui,,Non,,bullish,,0,,1,,ranging/elevated/ranging,,,
51,EURUSD,2025-11-28T10:00:00,1.15593,Oui,,Non,,Non,,0,,0,,bearish/normal/trend,,,
52,EURUSD,2025-11-28T18:00:00,1.16016,Oui,,Non,,Non,,0,,0,,ranging/elevated/ranging,,,
53,EURUSD,2025-12-01T15:00:00,1.16289,Oui,,Non,,Non,,0,,0,,bullish/normal/trend,,,
54,EURUSD,2025-12-03T10:00:00,1.16606,Oui,,Non,,Non,,0,,0,,bullish/normal/trend,,,
55,EURUSD,2025-12-05T16:00:00,1.16343,Non,,Oui,,bearish,,0,,0,,bullish/normal/trend,,,
56,EURUSD,2025-12-11T20:00:00,1.17411,Oui,,Non,,Non,,0,,1,,bullish/elevated/expansion,,,
57,EURUSD,2025-12-15T02:00:00,1.17414,Oui,,Non,,Non,,0,,0,,bullish/normal/trend,,,
58,EURUSD,2025-12-16T12:00:00,1.17779,Oui,,Non,,Non,,0,,0,,bullish/normal/trend,,,
59,EURUSD,2025-12-17T04:00:00,1.17297,Non,,Oui,,bearish,,0,,0,,bullish/low/trend,,,
60,EURUSD,2025-12-17T15:00:00,1.17530,Oui,,Non,,bullish,,0,,1,,bullish/elevated/expansion,,,
